"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Aug-2022","EQ","437.00","441.00","433.65","438.95","438.20","438.05","437.67","636.00","308.95","6,755,688","2,956,751,750.90","75,532"
"17-Aug-2022","EQ","430.95","442.40","426.60","428.90","438.00","438.95","436.15","636.00","308.95","12,297,570","5,363,540,430.80","124,976"
"16-Aug-2022","EQ","434.00","434.75","422.35","436.25","428.40","428.90","429.11","636.00","308.95","11,154,059","4,786,330,784.80","103,122"
"12-Aug-2022","EQ","435.65","442.70","433.00","433.50","436.45","436.25","438.92","636.00","308.95","9,420,634","4,134,931,402.10","103,864"
"11-Aug-2022","EQ","446.50","446.50","432.00","440.10","432.40","433.50","436.47","636.00","308.95","14,865,139","6,488,194,899.05","143,511"
"10-Aug-2022","EQ","423.05","444.40","416.60","421.40","440.10","440.10","432.63","636.00","308.95","23,766,201","10,281,987,989.35","201,001"
"08-Aug-2022","EQ","414.90","422.55","414.00","410.80","421.60","421.40","419.41","636.00","308.95","7,643,955","3,205,938,683.65","88,010"
"05-Aug-2022","EQ","422.95","426.50","409.05","421.70","412.35","410.80","415.94","636.00","308.95","12,217,436","5,081,720,188.90","127,116"
"04-Aug-2022","EQ","427.00","433.00","418.40","414.25","420.40","421.70","425.94","636.00","308.95","20,678,616","8,807,815,855.35","194,853"
"03-Aug-2022","EQ","417.00","422.50","409.60","418.40","414.70","414.25","414.23","636.00","308.95","6,883,530","2,851,359,916.15","113,661"
"02-Aug-2022","EQ","419.00","420.50","407.60","424.00","416.00","418.40","414.08","636.00","308.95","15,535,733","6,432,986,384.45","132,966"
"01-Aug-2022","EQ","420.00","428.00","418.85","415.05","423.50","424.00","423.75","636.00","308.95","15,535,311","6,583,051,208.20","161,142"
"29-Jul-2022","EQ","396.50","416.80","395.20","392.40","416.00","415.05","408.41","636.00","308.95","15,509,534","6,334,298,751.05","162,758"
"28-Jul-2022","EQ","394.00","395.25","385.90","388.65","391.75","392.40","391.34","636.00","308.95","7,586,494","2,968,913,078.40","86,593"
"27-Jul-2022","EQ","381.90","389.85","379.15","381.90","388.00","388.65","385.09","636.00","308.95","4,744,697","1,827,149,029.10","70,253"
"26-Jul-2022","EQ","387.40","389.40","381.05","387.05","382.45","381.90","384.82","636.00","308.95","5,532,712","2,129,087,357.15","63,071"
"25-Jul-2022","EQ","381.00","388.55","380.30","381.25","387.10","387.05","384.87","636.00","308.95","7,734,139","2,976,641,613.20","77,673"
"22-Jul-2022","EQ","378.75","382.00","376.75","375.95","381.25","381.25","379.91","636.00","308.95","9,498,042","3,608,427,019.90","96,446"
"21-Jul-2022","EQ","371.65","379.50","370.85","369.35","377.00","375.95","376.47","636.00","308.95","12,521,152","4,713,813,761.75","117,043"
"20-Jul-2022","EQ","375.00","376.20","367.40","367.95","368.50","369.35","370.90","636.00","308.95","10,150,339","3,764,793,588.80","100,049"
"19-Jul-2022","EQ","364.50","371.35","363.30","367.10","367.50","367.95","367.97","636.00","308.95","10,868,823","3,999,443,145.20","87,658"
"18-Jul-2022","EQ","355.90","368.10","354.20","350.55","367.20","367.10","363.29","636.00","308.95","13,863,266","5,036,393,190.75","132,021"
"15-Jul-2022","EQ","344.60","351.90","344.60","349.10","350.95","350.55","348.79","636.00","308.95","10,062,417","3,509,625,527.10","82,720"
"14-Jul-2022","EQ","354.50","354.50","346.50","348.90","348.40","349.10","348.91","636.00","308.95","9,511,166","3,318,509,816.85","96,501"
"13-Jul-2022","EQ","346.00","351.90","344.00","346.90","348.30","348.90","347.68","636.00","308.95","13,690,887","4,760,010,899.05","113,723"
"12-Jul-2022","EQ","350.00","356.00","341.60","356.20","346.30","346.90","347.23","636.00","308.95","16,896,696","5,867,047,814.35","137,153"
